,Unnamed: 0,Player,Nation,Position,Squad,Competition,Age,Born,90s,Goals,Shots_total,Shots_on_target,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net
18,18,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,17.6,0.0,0,0,1.3,1.3,0.19,-0.3,-0.3
19,19,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,2,23,7,30.4,4.32,1.32,0.09,0.29,15.3,0.0,0,0,2.1,2.1,0.1,-0.1,-0.1
20,20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,0,18,5,27.8,0.55,0.15,0.0,0.0,10.5,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1
21,21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,0,1,0,0.0,2.5,0.0,0.0,0.0,17.1,0.0,0,0,0.3,0.3,0.34,-0.3,-0.3
22,22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1.0,0,0,1.9,1.9,0.08,0.1,0.1
23,23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
24,25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,0,2,0,0.0,0.12,0.0,0.0,0.0,15.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
25,26,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,0,2,0,0.0,0.23,0.0,0.0,0.0,19.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
26,27,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,1,4,1,25.0,0.51,0.13,0.25,1.0,19.3,0.0,0,0,0.6,0.6,0.15,0.4,0.4
27,28,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.2,0.0,0,0,1.5,1.5,0.08,-0.5,-0.5
28,29,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,3,28,6,21.4,0.8,0.17,0.11,0.5,10.1,0.0,0,0,3.2,3.2,0.12,-0.2,-0.2
29,30,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.3,14.6,0.0,1,2,3.5,1.9,0.11,0.5,1.1
30,31,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,11.0,0.0,0,0,0.9,0.9,0.11,0.1,0.1
31,32,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,0,5,1,20.0,1.79,0.36,0.0,0.0,23.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
32,33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,2,12,7,58.3,1.2,0.7,0.17,0.29,22.5,0.0,0,0,1.4,1.4,0.11,0.6,0.6
33,36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,0,9,0,0.0,0.63,0.0,0.0,0.0,14.9,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8
34,37,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.5,24.6,1.0,0,0,1.2,1.2,0.09,0.8,0.8
35,40,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.5,9.8,0.0,0,0,1.9,1.9,0.15,0.1,0.1
36,41,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,33.0,16,66,30,45.5,2.0,0.91,0.18,0.4,15.0,0.0,4,5,15.7,11.8,0.18,0.3,0.2
37,42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2,19,4,21.1,0.73,0.15,0.11,0.5,13.9,0.0,0,0,1.7,1.7,0.09,0.3,0.3
38,43,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,1,2,1,50.0,0.21,0.1,0.5,1.0,23.4,0.0,0,0,0.3,0.3,0.17,0.7,0.7
39,44,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,0,4,0,0.0,2.47,0.0,0.0,0.0,12.7,0.0,0,0,1.0,1.0,0.26,-1.0,-1.0
40,45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1.0,15.5,0.0,0,0,0.3,0.3,0.09,0.7,0.7
41,46,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
42,47,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,0,12,1,8.3,1.02,0.09,0.0,0.0,16.6,0.0,0,0,1.2,1.2,0.1,-1.2,-1.2
43,48,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,1,2,2,100.0,0.15,0.15,0.5,0.5,21.0,0.0,0,0,0.1,0.1,0.04,0.9,0.9
44,49,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,1992,29.7,2,21,6,28.6,0.71,0.2,0.1,0.33,23.9,3.0,0,0,1.2,1.2,0.06,0.8,0.8
45,50,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,0,5,0,0.0,0.3,0.0,0.0,0.0,21.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
46,51,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,0,1,0,0.0,1.23,0.0,0.0,0.0,26.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0
47,52,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,11,39,18,46.2,2.82,1.3,0.23,0.5,13.4,0.0,2,2,7.2,5.7,0.14,3.8,3.3
48,53,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,1989,33.6,3,27,10,37.0,0.8,0.3,0.11,0.3,20.2,1.0,0,0,1.9,1.9,0.07,1.1,1.1
49,54,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,9,69,29,42.0,2.37,1.0,0.13,0.31,21.3,3.0,0,0,5.1,5.0,0.07,3.9,4.0
50,55,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,0,8,1,12.5,0.23,0.03,0.0,0.0,14.6,0.0,0,0,0.9,0.9,0.11,-0.9,-0.9
51,56,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,21.2,0.0,0,0,1.2,1.2,0.06,-0.2,-0.2
52,57,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,6,35,16,45.7,2.04,0.93,0.14,0.31,14.0,3.0,1,2,9.0,7.5,0.21,-3.0,-2.5
53,58,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,0,2,0,0.0,0.2,0.0,0.0,0.0,14.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
54,59,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.2,23.3,1.0,0,0,1.2,1.2,0.06,-0.2,-0.2
55,60,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,1,28,3,10.7,1.16,0.12,0.04,0.33,25.1,7.0,0,0,1.8,1.8,0.06,-0.8,-0.8
56,61,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,0,6,2,33.3,0.42,0.14,0.0,0.0,15.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
57,62,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,1,10,3,30.0,0.4,0.12,0.1,0.33,8.5,0.0,0,0,0.7,0.7,0.07,0.3,0.3
58,63,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,1995,9.2,1,13,4,30.8,1.41,0.44,0.08,0.25,17.9,1.0,0,0,1.1,1.1,0.08,-0.1,-0.1
59,67,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,2,55,12,21.8,1.63,0.36,0.04,0.17,24.9,18.0,0,0,2.6,2.6,0.05,-0.6,-0.6
60,68,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,0,1,1,100.0,2.65,2.65,0.0,0.0,15.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
61,69,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,fr Ligue 1,16,2004,3.9,0,10,0,0.0,2.59,0.0,0.0,0.0,13.0,0.0,0,0,1.9,1.9,0.19,-1.9,-1.9
62,70,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,1992,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,19.0,0.0,0,0,1.6,1.6,0.06,0.4,0.4
63,71,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
64,74,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,0,7,2,28.6,0.31,0.09,0.0,0.0,22.4,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
65,75,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,0,12,4,33.3,1.74,0.58,0.0,0.0,15.4,0.0,0,0,2.0,2.0,0.17,-2.0,-2.0
66,76,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,1994,27.0,4,33,14,42.4,1.22,0.52,0.12,0.29,19.2,1.0,0,0,3.2,3.2,0.1,0.8,0.8
67,77,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.6,5.0,0,0,1.8,1.8,0.08,0.2,0.2
68,78,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,1992,17.4,0,6,2,33.3,0.34,0.11,0.0,0.0,17.5,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4
69,79,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,1,10,1,10.0,0.46,0.05,0.1,1.0,14.4,0.0,0,0,0.6,0.6,0.06,0.4,0.4
70,80,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,1,10,3,30.0,0.55,0.17,0.1,0.33,23.5,3.0,0,0,0.4,0.4,0.04,0.6,0.6
71,81,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,10.0,1,7,2,28.6,0.7,0.2,0.14,0.5,18.7,0.0,0,0,0.8,0.8,0.12,0.2,0.2
72,82,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,0,15,5,33.3,0.9,0.3,0.0,0.0,20.3,0.0,0,0,1.5,1.5,0.1,-1.5,-1.5
73,83,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,1989,1.3,0,2,0,0.0,1.55,0.0,0.0,0.0,30.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
74,84,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
75,85,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,1,3,1,33.3,0.37,0.12,0.33,1.0,10.6,0.0,0,0,0.4,0.4,0.12,0.6,0.6
76,86,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,1,4,1,25.0,0.44,0.11,0.25,1.0,11.8,0.0,0,0,0.2,0.2,0.06,0.8,0.8
77,87,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,8.4,0,19,6,31.6,2.27,0.72,0.0,0.0,20.0,0.0,0,0,1.0,1.0,0.05,-1.0,-1.0
78,88,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
79,89,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,2,42,14,33.3,2.0,0.67,0.05,0.14,24.4,3.0,0,0,2.2,2.2,0.05,-0.2,-0.2
80,90,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,2000,23.2,0,7,2,28.6,0.3,0.09,0.0,0.0,19.3,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
81,91,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,0,10,3,30.0,0.37,0.11,0.0,0.0,21.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
82,92,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,0,5,1,20.0,0.56,0.11,0.0,0.0,14.4,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
83,95,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
84,96,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
85,97,Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,27,1993,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
86,98,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,3,39,13,33.3,3.12,1.04,0.05,0.15,13.0,0.0,1,1,6.2,5.4,0.14,-3.2,-3.4
87,100,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,0,19,7,36.8,0.59,0.22,0.0,0.0,15.2,0.0,0,0,1.6,1.6,0.08,-1.6,-1.6
88,101,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,5,41,9,22.0,1.46,0.32,0.12,0.56,24.0,4.0,0,0,2.6,2.6,0.06,2.4,2.4
89,102,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,0,6,1,16.7,0.32,0.05,0.0,0.0,22.1,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5
90,104,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,0,2,0,0.0,0.2,0.0,0.0,0.0,30.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0
91,105,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,1,0,0.0,0.67,0.0,0.0,0.0,8.5,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1
92,106,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,23,1997,24.0,4,35,13,37.1,1.46,0.54,0.11,0.31,16.1,4.0,0,0,4.2,4.2,0.12,-0.2,-0.2
93,107,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
94,108,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
95,109,Cristian Ansaldi,ar ARG,"DF,FW",Torino,it Serie A,33,1986,21.6,1,17,6,35.3,0.79,0.28,0.0,0.0,23.5,4.0,1,1,1.9,1.1,0.07,-0.9,-1.1
96,110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,0,12,4,33.3,0.4,0.13,0.0,0.0,14.9,0.0,0,0,1.3,1.3,0.1,-1.3,-1.3
97,111,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,21.9,10,63,22,34.9,2.87,1.0,0.16,0.45,13.4,0.0,0,0,12.9,12.9,0.22,-2.9,-2.9
98,112,José Antonio Miranda,gq EQG,"MF,DF",Getafe,es La Liga,22,1998,0.3,0,1,0,0.0,3.46,0.0,0.0,0.0,7.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
99,113,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,0,1,0,0.0,0.39,0.0,0.0,0.0,31.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0
100,114,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,22,1998,19.8,7,68,25,36.8,3.44,1.26,0.07,0.2,16.6,0.0,2,2,9.9,8.3,0.12,-2.9,-3.3
101,115,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,2002,19.2,2,26,12,46.2,1.35,0.62,0.08,0.17,20.8,2.0,0,0,3.4,3.4,0.13,-1.4,-1.4
102,116,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,0,6,0,0.0,0.35,0.0,0.0,0.0,18.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
103,117,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
104,118,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,3,46,9,19.6,1.39,0.27,0.07,0.33,26.5,6.0,0,0,2.1,2.1,0.05,0.9,0.9
105,119,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,0,4,2,50.0,0.22,0.11,0.0,0.0,10.1,0.0,0,0,0.6,0.6,0.14,-0.6,-0.6
106,120,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,4,49,10,20.4,2.95,0.6,0.08,0.4,23.2,1.0,0,0,3.7,3.7,0.07,0.3,0.3
107,121,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,0,6,0,0.0,0.22,0.0,0.0,0.0,11.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
108,122,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.5,11.7,0.0,0,0,1.8,1.8,0.15,0.2,0.2
109,123,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,0,27,2,7.4,0.87,0.06,0.0,0.0,27.1,5.0,0,0,1.8,1.8,0.07,-1.8,-1.8
110,125,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
111,126,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,0,8,2,25.0,2.45,0.61,0.0,0.0,13.5,0.0,0,0,0.8,0.8,0.1,-0.8,-0.8
112,127,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,es La Liga,21,1999,0.5,0,1,0,0.0,1.91,0.0,0.0,0.0,30.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
113,128,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
114,129,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,4,55,11,20.0,1.79,0.36,0.07,0.36,21.6,0.0,0,0,2.7,2.7,0.05,1.3,1.3
115,130,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,3,55,15,27.3,1.91,0.52,0.05,0.2,29.4,12.0,0,0,2.4,2.4,0.04,0.6,0.6
116,131,Toluwalase Arokodare,ng NGA,"FW,MF",Köln,de Bundesliga,19,2000,1.2,0,3,1,33.3,2.41,0.8,0.0,0.0,10.2,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2
117,132,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,18,2001,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,26.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0
118,134,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,3,22,6,27.3,1.09,0.3,0.14,0.5,21.5,0.0,0,0,0.9,0.9,0.04,2.1,2.1
119,135,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,it Serie A,31,1988,2.5,0,2,1,50.0,0.8,0.4,0.0,0.0,23.1,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
120,136,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,1,7,3,42.9,0.83,0.35,0.14,0.33,21.0,0.0,0,0,0.3,0.3,0.04,0.7,0.7
121,138,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,24,1996,20.8,5,39,11,28.2,1.88,0.53,0.13,0.45,19.7,3.0,0,0,3.8,3.8,0.1,1.2,1.2
122,139,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,0,1,0,0.0,0.95,0.0,0.0,0.0,24.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0
123,140,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,14,45,21,46.7,1.41,0.66,0.2,0.43,15.9,6.0,5,5,12.4,8.5,0.19,1.6,0.5
124,141,Roger Assalé,ci CIV,"FW,MF",Dijon,fr Ligue 1,26,1993,9.2,1,11,3,27.3,1.2,0.33,0.09,0.33,16.8,0.0,0,0,1.2,1.2,0.11,-0.2,-0.2
125,142,Youcef Atal,dz ALG,"DF,FW",Nice,fr Ligue 1,24,1996,10.6,1,8,5,62.5,0.75,0.47,0.13,0.2,18.1,0.0,0,0,0.4,0.4,0.05,0.6,0.6
126,143,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,0,5,0,0.0,0.54,0.0,0.0,0.0,15.1,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
127,144,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,10,55,19,34.5,2.12,0.73,0.15,0.42,14.0,0.0,2,2,10.2,8.6,0.16,-0.2,-0.6
128,146,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,1,8,2,25.0,0.22,0.06,0.13,0.5,19.3,0.0,0,0,0.3,0.3,0.04,0.7,0.7
129,147,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
