,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots
56,57,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,41.0,20,14.0,24.0,3.0,22.0,45.0,48.9,23.0,10.0,2.0,8.0,13,54.0,14.0,0.0
57,58,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,53.0,34,34.0,17.0,2.0,34.0,53.0,64.2,19.0,30.0,18.0,12.0,35,88.0,153.0,0.0
58,59,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,26,1995,11.8,33.0,15,21.0,10.0,2.0,15.0,44.0,34.1,29.0,12.0,0.0,12.0,8,41.0,17.0,0.0
59,61,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,27.0,19,11.0,13.0,3.0,9.0,48.0,18.8,39.0,21.0,2.0,19.0,15,42.0,16.0,0.0
60,62,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,40.0,23,19.0,13.0,8.0,27.0,60.0,45.0,33.0,22.0,4.0,18.0,43,83.0,40.0,0.0
61,63,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,10.0,5,1.0,4.0,5.0,5.0,17.0,29.4,12.0,17.0,1.0,16.0,8,18.0,0.0,1.0
62,65,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,74.0,44,28.0,39.0,7.0,34.0,105.0,32.4,71.0,40.0,9.0,31.0,23,97.0,39.0,1.0
63,66,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,18.0,13,8.0,8.0,2.0,5.0,18.0,27.8,13.0,11.0,0.0,11.0,6,24.0,4.0,0.0
64,69,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,27,1994,19.1,47.0,29,23.0,17.0,7.0,11.0,44.0,25.0,33.0,14.0,1.0,13.0,20,67.0,13.0,0.0
65,70,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,41.0,29,20.0,12.0,9.0,17.0,36.0,47.2,19.0,29.0,5.0,24.0,43,84.0,53.0,0.0
66,71,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,39.0,28,18.0,18.0,3.0,21.0,26.0,80.8,5.0,17.0,5.0,12.0,30,69.0,70.0,0.0
67,72,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
68,73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,24.0,14,15.0,8.0,1.0,10.0,18.0,55.6,8.0,21.0,16.0,5.0,45,69.0,97.0,0.0
69,74,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,30.0,19,13.0,13.0,4.0,14.0,26.0,53.8,12.0,10.0,3.0,7.0,11,41.0,10.0,2.0
70,75,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,10.0,4,4.0,5.0,1.0,4.0,7.0,57.1,3.0,2.0,1.0,1.0,10,20.0,10.0,0.0
71,76,Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28,1993,9.0,16.0,8,10.0,6.0,0.0,8.0,15.0,53.3,7.0,4.0,2.0,2.0,14,30.0,26.0,0.0
72,77,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0
73,78,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,26.0,13,19.0,7.0,0.0,19.0,29.0,65.5,10.0,30.0,22.0,8.0,21,47.0,93.0,4.0
74,79,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,25,1996,9.8,21.0,11,11.0,6.0,4.0,7.0,17.0,41.2,10.0,12.0,0.0,12.0,7,28.0,7.0,0.0
75,82,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,3.0,2,1.0,1.0,1.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,3,6.0,1.0,0.0
76,83,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,66.0,42,43.0,18.0,5.0,30.0,41.0,73.2,11.0,39.0,21.0,18.0,32,98.0,75.0,0.0
77,86,Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,20,2000,25.4,67.0,43,37.0,27.0,3.0,24.0,58.0,41.4,34.0,49.0,19.0,30.0,51,118.0,76.0,0.0
78,87,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,24.0,13,9.0,13.0,2.0,11.0,19.0,57.9,8.0,25.0,8.0,17.0,5,29.0,6.0,1.0
79,88,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,30.0,23,21.0,9.0,0.0,16.0,27.0,59.3,11.0,29.0,19.0,10.0,37,67.0,125.0,3.0
80,89,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,71.0,45,30.0,33.0,8.0,27.0,99.0,27.3,72.0,65.0,6.0,59.0,20,91.0,16.0,0.0
81,90,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,11.0,7,0.0,3.0,8.0,3.0,9.0,33.3,6.0,8.0,0.0,8.0,3,14.0,14.0,0.0
82,91,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,1.0,0.0
83,92,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,27.0,16,18.0,8.0,1.0,17.0,35.0,48.6,18.0,16.0,7.0,9.0,19,46.0,44.0,0.0
84,93,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,123.0,69,49.0,65.0,9.0,51.0,113.0,45.1,62.0,49.0,11.0,38.0,50,173.0,56.0,0.0
85,94,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,12.0,10,7.0,4.0,1.0,7.0,9.0,77.8,2.0,6.0,2.0,4.0,6,18.0,8.0,0.0
86,95,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,33.0,17,18.0,14.0,1.0,14.0,28.0,50.0,14.0,19.0,7.0,12.0,31,64.0,46.0,0.0
87,96,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,20.0,13,9.0,9.0,2.0,9.0,14.0,64.3,5.0,6.0,1.0,5.0,10,30.0,21.0,0.0
88,97,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,28.0,21,14.0,13.0,1.0,14.0,30.0,46.7,16.0,24.0,3.0,21.0,29,57.0,40.0,0.0
89,98,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,0.0
90,99,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,20.0,9,11.0,7.0,2.0,10.0,13.0,76.9,3.0,9.0,1.0,8.0,6,26.0,10.0,0.0
91,100,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,18.0,11,6.0,6.0,6.0,5.0,13.0,38.5,8.0,7.0,1.0,6.0,4,22.0,6.0,0.0
92,101,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,40.0,26,22.0,15.0,3.0,19.0,32.0,59.4,13.0,27.0,16.0,11.0,32,72.0,116.0,1.0
93,102,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,3.0,1.0
94,103,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,23.0,17,5.0,9.0,9.0,7.0,18.0,38.9,11.0,19.0,1.0,18.0,3,26.0,13.0,0.0
95,104,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,27,1994,12.6,21.0,18,7.0,8.0,6.0,6.0,26.0,23.1,20.0,12.0,0.0,12.0,1,22.0,8.0,0.0
96,105,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,23,1998,27.8,46.0,30,9.0,25.0,12.0,27.0,54.0,50.0,27.0,26.0,1.0,25.0,20,66.0,5.0,0.0
97,106,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,19,2002,12.0,13.0,6,5.0,5.0,3.0,5.0,33.0,15.2,28.0,18.0,1.0,17.0,17,30.0,4.0,0.0
98,107,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,55.0,34,35.0,18.0,2.0,28.0,48.0,58.3,20.0,30.0,13.0,17.0,27,82.0,74.0,0.0
99,108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,62.0,37,19.0,32.0,11.0,20.0,68.0,29.4,48.0,35.0,5.0,30.0,32,94.0,18.0,0.0
100,109,Mattia Aramu,it ITA,"MF,FW",Venezia,it Serie A,26,1995,23.3,20.0,15,5.0,9.0,6.0,8.0,33.0,24.2,25.0,20.0,2.0,18.0,8,28.0,19.0,0.0
101,110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,45.0,25,18.0,21.0,6.0,22.0,52.0,42.3,30.0,24.0,4.0,20.0,33,78.0,21.0,0.0
102,111,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,22.0,14,17.0,5.0,0.0,9.0,21.0,42.9,12.0,17.0,10.0,7.0,27,49.0,105.0,2.0
103,112,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,41.0,23,29.0,12.0,0.0,21.0,25.0,84.0,4.0,37.0,20.0,17.0,23,64.0,66.0,1.0
104,113,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,20,2001,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
105,115,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,3.0,3,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,3.0,2.0,1.0
106,116,Matias Arezo,uy URU,"FW,MF",Granada,es La Liga,18,2002,1.8,5.0,3,2.0,1.0,2.0,4.0,9.0,44.4,5.0,1.0,0.0,1.0,1,6.0,1.0,0.0
107,117,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,12.0,5,8.0,3.0,1.0,4.0,9.0,44.4,5.0,8.0,4.0,4.0,5,17.0,10.0,0.0
108,118,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,10.0,4,2.0,2.0,6.0,0.0,6.0,0.0,6.0,13.0,1.0,12.0,3,13.0,6.0,0.0
109,119,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,27.0,19,15.0,6.0,6.0,9.0,23.0,39.1,14.0,10.0,1.0,9.0,8,35.0,15.0,0.0
110,120,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,17.0,9,1.0,11.0,5.0,7.0,30.0,23.3,23.0,13.0,2.0,11.0,7,24.0,17.0,0.0
111,121,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,37.0,20,19.0,16.0,2.0,20.0,50.0,40.0,30.0,43.0,15.0,28.0,37,74.0,55.0,0.0
112,123,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,35.0,20,15.0,16.0,4.0,19.0,50.0,38.0,31.0,17.0,4.0,13.0,13,48.0,23.0,1.0
113,124,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,9.0,5,2.0,5.0,2.0,4.0,7.0,57.1,3.0,4.0,1.0,3.0,1,10.0,8.0,0.0
114,125,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,14.0,6,6.0,5.0,3.0,6.0,13.0,46.2,7.0,6.0,0.0,6.0,4,18.0,7.0,0.0
115,126,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,26,1994,17.9,11.0,6,3.0,6.0,2.0,5.0,19.0,26.3,14.0,14.0,1.0,13.0,7,18.0,7.0,0.0
116,127,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,93.0,54,50.0,37.0,6.0,38.0,89.0,42.7,51.0,31.0,6.0,25.0,41,134.0,42.0,0.0
117,129,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
118,130,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,25,1996,19.2,12.0,8,6.0,4.0,2.0,4.0,18.0,22.2,14.0,8.0,1.0,7.0,12,24.0,6.0,1.0
119,131,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1.0,0.0
120,132,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,18.0,6,7.0,11.0,0.0,9.0,19.0,47.4,10.0,14.0,7.0,7.0,15,33.0,15.0,0.0
121,133,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,de Bundesliga,18,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
122,134,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15.0,18.0,9,9.0,8.0,1.0,11.0,29.0,37.9,18.0,16.0,7.0,9.0,19,37.0,15.0,1.0
123,135,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,14.0,7,1.0,5.0,8.0,4.0,24.0,16.7,20.0,23.0,2.0,21.0,11,25.0,19.0,0.0
124,136,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,15.0,10,11.0,3.0,1.0,5.0,9.0,55.6,4.0,3.0,1.0,2.0,11,26.0,19.0,0.0
125,137,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,13.0,6,4.0,5.0,4.0,4.0,8.0,50.0,4.0,14.0,2.0,12.0,8,21.0,16.0,0.0
126,138,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,29.0,19,17.0,10.0,2.0,14.0,25.0,56.0,11.0,13.0,2.0,11.0,32,61.0,21.0,0.0
127,142,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,36.0,20,22.0,8.0,6.0,17.0,29.0,58.6,12.0,19.0,4.0,15.0,29,65.0,68.0,1.0
128,143,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,fr Ligue 1,24,1997,0.9,1.0,0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0,1.0,0.0,0.0
